abbatial|abbatiale
abdominal|abdominale
aberrant|aberrante
abject|abjecte
abominable|abominable
abondant|abondante
abordable|abordable
aborigène|aborigène
abortif|abortive
aboulique|aboulique
abracadabrant|abracadabrante
abrasif|abrasive
abricot|abricot
abrogeable|abrogeable
abrupt|abrupte
abscons|absconse
absent|absente
absolu|absolue
abstinent|abstinente
abstrait|abstraite
abstrus|abstruse
absurde|absurde
abusif|abusive
abyssal|abyssale
académique|académique
acajou|acajou
acariâtre|acariâtre
accablant|accablante
acceptable|acceptable
accessible|accessible
accidentel|accidentelle
accort|accorte
accueillant|accueillante
accusateur|accusatrice
acerbe|acerbe
achalandé|achalandée
acide|acide
acidulé|acidulée
acoustique|acoustique
acrimonieux|acrimonieuse
acrobatique|acrobatique
acrylique|acrylique
actif|active
activiste|activiste
actuariel|actuarielle
actuel|actuelle
acéré|acérée
additif|additives
additionnel|additionnelle
adhérent|adhérente
adhésif|adhésive
adipeux|adipeuse
adjacent|adjacente
adjectif|adjective
adjectival|adjectivale
adjoint|adjointe
adjudicataire|adjudicataire
adjudicateur|adjudicatrice
administratif|administrative
administratif|administratives
admirable|admirable
admiratif|admirative
admissible|admissible
adoptable|adoptable
adoptif|adoptive
adoptif|adoptives
adorable|adorable
adoucissant|adoucissante
adroit|adroite
adulte|adulte
adultère|adultère
adultérin|adultérine
adventice|adventice
adverbial|adverbiale
adverse|adverse
adéquat|adéquate
affable|affable
affairiste|affairiste
affectif|affective
affectueux|affectueuse
affidé|affidée
affirmatif|affirmative
affixal|affixale
affligeant|affligeante
affreux|affreuse
afférent|afférente
afghan|afghane
afocal|afocale
africain|africaine
afrikaans|afrikaans
agaçant|agaçante
aggravant|aggravante
agile|agile
agissant|agissante
agnostique|agnostique
agraire|agraire
agrammatical|agrammaticale
agrarien|agrarienne
agressif|agressive
agreste|agreste
agricole|agricole
agroalimentaire|agroalimentaire
agronomique|agronomique
agréable|agréable
agrémenté|agrémentée
ahurissant|ahurissante
aigre|aigre
aigrelet|aigrelette
aigu|aiguë
ailé|ailée
aimable|aimable
aisé|aisée
ajouré|ajourée
alambiqué|alambiquée
alarmant|alarmante
alarmiste|alarmiste
albanais|albanaise
albinos|albinos
alcalin|alcalin
alcoolique|alcoolique
alcoométrique|alcoométrique
alerte|alerte
alezan|alezane
algébrique|algébrique
algérien|algérienne
alimentaire|alimentaire
allaitant|allaitante
allemand|allemande
allergique|allergique
alliacé|alliacée
allié|alliée
allogène|allogène
allumeur|allumeuse
allusif|allusive
alluvial|alluviale
allègre|allègre
allégorique|allégorique
almeydiste|almeydiste
alpestre|alpestre
alphabétique|alphabétique
alpin|alpine
alsacien|alsacienne
alternatif|alternative
altier|altière
aléatoire|aléatoire
alémanique|alémanique
amarante|amarante
amaril|amarile
amateur|amateur
amateur|amatrice
amazonien|amazonienne
ambiant|ambiante
ambidextre|ambidextre
ambigu|ambiguë
ambitieux|ambitieuse
ambivalent|ambivalente
amblyope|amblyope
ambulant|ambulante
ambulatoire|ambulatoire
amensal|amensale
amer|amère
ami|amie
amiable|amiable
amical|amicale
ammoniacal|ammoniacale
amnésique|amnésique
amoral|amorale
amorphe|amorphe
amoureux|amoureuse
amovible|amovible
amphibie|amphibie
ample|ample
amusant|amusante
amène|amène
américain|américaine
américanisé|américanisée
anachronique|anachronique
anal|anale
analgésique|analgésique
analogue|analogue
analphabète|analphabète
analytique|analytique
anarchique|anarchique
anarchiste|anarchiste
anatomique|anatomique
ancestral|ancestrale
ancien|ancienne
andalou|andalouse
andin|andine
andéen|andéen
anecdotique|anecdotique
anglais|anglaise
anglican|anglicane
anglophile|anglophile
anglophone|anglophone
angoissant|angoissante
angolais|angolaise
angora|angora
angulaire|angulaire
anguleux|anguleuse
angélique|angélique
animal|animale
animalier|animalière
animiste|animiste
annamite|annamite
annexe|annexe
annonciateur|annonciatrice
annuel|annuelle
anodin|anodine
anomal|anomale
anonyme|anonyme
anormal|anormale
antagoniste|antagoniste
antarctique|antarctique
anthracite|anthracite
anthropique|anthropique
anthropocentrique|anthropocentrique
anthropologique|anthropologique
anthropomorphe|anthropomorphe
anthropoïde|anthropoïde
antiapartheid|antiapartheid
antiaérien|antiaérienne
antibiotique|antibiotique
antibrouillard|antibrouillard
antibruit|antibruit
anticasseurs|anticasseurs
antichar|antichar
anticlinal|anticlinale
anticlérical|anticléricale
anticoccidien|anticoccidienne
anticommuniste|anticommuniste
anticoncurrentiel|anticoncurrentielle
anticonstitutionnel|anticonstitutionnelle
anticyclonal|anticyclonale
antidémocratique|antidémocratique
antifasciste|antifasciste
antigang|antigang
antigel|antigel
antiglisse|antiglisse
antigouvernemental|antigouvernementale
antillais|antillaise
antimarxiste|antimarxiste
antinational|antinationale
antinationaliste|antinationaliste
antinomique|antinomique
antinucléaire|antinucléaire
antiparasitaire|antiparasitaire
antiparti|antiparti
antipersonnel|antipersonnelle
antipoison|antipoison
antipollution|antipollution
antique|antique
antirabique|antirabique
antiraciste|antiraciste
antirocardien|antirocardienne
antirouille|antirouille
antisandiniste|antisandiniste
antisocial|antisociale
antisocialiste|antisocialiste
antisyndical|antisyndicale
antisémite|antisémite
antiterroriste|antiterroriste
antithétique|antithétique
antitrust|antitrust
antécédent|antécédente
antédiluvien|antédiluvienne
antépénultième|antépénultième
antérieur|antérieure
anversois|anversoise
anxieux|anxieuse
aouniste|aouniste
apaisant|apaisante
apeuré|apeurée
aphone|aphone
aphrodisiaque|aphrodisiaque
aphteux|aphteuse
apical|apicale
apicole|apicole
apocalyptique|apocalyptique
apocryphe|apocryphe
apolitique|apolitique
apoplectique|apoplectique
apostat|apostate
apostolique|apostolique
apparent|apparente
appauvrissant|appauvrissante
appellatif|appellative
applicable|applicable
approbateur|approbatrice
approximatif|approximative
appréciable|appréciable
appétissant|appétissante
apte|apte
aquacole|aquacole
aquatique|aquatique
aqueux|aqueuse
aquifère|aquifère
arabe|arabe
arable|arable
arabophone|arabophone
arachnéen|arachnéenne
aragonais|aragonaise
aratoire|aratoire
arbitraire|arbitraire
arbitral|arbitrale
arborescent|arborescente
arboricole|arboricole
archaïque|archaïque
architectonique|architectonique
architectural|architecturale
archéologique|archéologique
arctique|arctique
ardent|ardente
ardu|ardue
ardéchois|ardéchoise
argentin|argentine
argileux|argileuse
argumentaire|argumentaire
aride|aride
aristocrate|aristocrate
aristocratique|aristocratique
arlésien|arlésienne
armorial|armoriale
arménien|arménienne
aromatique|aromatique
arriviste|arriviste
arrière|arrière
arriéré|arriérée
arrogant|arrogante
artificiel|artificielle
artisanal|artisanale
artistique|artistique
artériel|artérielle
aryen|aryenne
ascendant|ascendante
ascensionnel|ascensionnelle
ascétique|ascétique
asexué|asexuée
asiatique|asiatique
asocial|asociale
asphyxiant|asphyxiante
aspirateur|aspiratrice
assaillant|assaillante
assidu|assidue
assimilable|assimilable
assis|assise
associatif|associative
assonant|assonante
astigmate|astigmate
astral|astrale
astringent|astringente
astrologique|astrologique
astronomique|astronomique
astrononique|astrononique
astrophysique|astrophysique
astucieux|astucieuse
asturien|asturienne
athlétique|athlétique
athée|athée
athénien|athénienne
atlantique|atlantique
atlantiste|atlantiste
atmosphérique|atmosphérique
atomique|atomique
atonal|atonale
atone|atone
atroce|atroce
attachant|attachante
attenant|attenante
attentatoire|attentatoire
attentif|attentive
attentionné|attentionnée
attractif|attractive
attrayant|attrayante
attribuable|attribuable
atténuant|atténuante
atypique|atypique
auburn|auburn
aubère|aubère
audacieux|audacieuse
audible|audible
audiovisuel|audiovisuelle
auditif|auditives
augural|augurale
auguste|auguste
aurifère|aurifère
auroral|aurorale
auréolé|auréolée
austral|australe
australien|australienne
austère|austère
authentique|authentique
autobiographique|autobiographique
autocollant|autocollante
autodidacte|autodidacte
autogestionnaire|autogestionnaire
automatique|automatique
automatisable|automatisable
automatisé|automatisée
automnal|automnale
automobile|automobile
automobiliste|automobiliste
automoteur|automotrice
autonome|autonome
autonomiste|autonomiste
autoritaire|autoritaire
autoroutier|autoroutière
autosuffisant|autosuffisante
autre|autre
autre|autre
autrichien|autrichienne
auxerrois|auxerroise
auxiliaire|auxiliaire
avantageux|avantageuse
avare|avare
avenant|avenante
aventureux|aventureuse
aventurier|aventurière
avenu|avenue
aveuglant|aveuglante
aveugle|aveugle
aviaire|aviaire
avicole|avicole
avide|avide
aviné|avinée
avoisinant|avoisinante
avoriazien|avoriazienne
avouable|avouable
axial|axiale
azeri|azerie
azimutal|azimutale
azoté|azotée
azyme|azyme
azéri|azérie
aérien|aérienne
aérobie|aérobie
aérodynamique|aérodynamique
aéronautique|aéronautique
aéronaval|aéronavale
aéroportuaire|aéroportuaire
aéroporté|aéroportée
aéropostal|aéropostale
aérospatial|aérospatiale
aérostatique|aérostatique
aéré|aérée
aîné|aînée
baba|baba
babylonien|babylonienne
bactéricide|bactéricide
bactérien|bactérienne
bactériologique|bactériologique
badaud|badaude
badin|badine
bagarreur|bagarreuse
bagué|baguée
bai|baie
balbutiant|balbutiante
baleinier|baleinière
balkanique|balkanique
ballant|ballante
ballottant|ballottante
balnéaire|balnéaire
balourd|balourde
balte|balte
banal|banale
bancaire|bancaire
bancal|bancale
banlieusard|banlieusarde
bantou|bantoue
baoulé|baoulé
baptismal|baptismale
barbare|barbare
barbelé|barbelée
barbet|barbette
barbu|barbue
barlong|barlongue
baroque|baroque
barriste|barriste
bas|basse
basal|basale
basilical|basilicale
basque|basque
bataillonnaire|bataillonnaire
bathyal|bathyale
battant|battante
bavard|bavarde
bavarois|bavaroise
baveux|baveuse
bayadère|bayadère
beau|belle
beige|beige
belge|belge
belligérant|belligérante
belliqueux|belliqueuse
benoît|benoîte
benthique|benthique
berbère|berbère
berlinois|berlinoise
besogneux|besogneuse
bestial|bestiale
betteravier|betteravière
beur|beur
beylical|beylicale
biais|biaise
biannuel|biannuelle
biaural|biaurale
biblique|biblique
bicolore|bicolore
bicéphale|bicéphale
bien|bien
bienfaisant|bienfaisante
bienheureux|bienheureuse
biennal|biennale
bienséant|bienséante
bienveillant|bienveillante
bienvenu|bienvenue
bifocal|bifocale
bigame|bigame
bilatéral|bilatérale
bileux|bileuse
biliaire|biliaire
bilingue|bilingue
bimensuel|bimensuelle
bimoteur|bimoteur
binaire|binaire
binational|binationale
binaural|binaurale
binomial|binomiale
bio|bio
biocide|biocide
biodégradable|biodégradable
biographique|biographique
biologique|biologique
biomédical|biomédicale
biotechnologique|biotechnologique
bioéthique|bioéthique
biparti|bipartie
bipartite|bipartite
bipolaire|bipolaire
bipède|bipède
birman|birmane
bis|bise
bisannuel|bisannuelle
biscornu|biscornue
bistre|bistre
bizarre|bizarre
blafard|blafarde
blanc|blanche
blanchâtre|blanchâtre
blasphémateur|blasphématrice
blennorragique|blennorragique
blessé|blessée
